,human,rt,typical_name,oddity_name,category,it,v4,pool3,pool4,pool5,fc6,fc7,fc8,check,marker
84,0.75,4388.125,_011,_010,chairs,0.38,0.34,0.41,0.41,0.41,0.49,0.47,0.42,"('_011', '_010')",437
85,0.8620689655172413,2697.7241379310344,_033,_011,chairs,0.43,0.48,0.56,0.56,0.56,0.55,0.53,0.54,"('_033', '_011')",546
86,0.9629629629629629,2779.185185185185,TURTLE_L,breed_pug,animals,1.0,0.37,0.4,0.4,0.4,0.9,0.92,0.98,"('TURTLE_L', 'breed_pug')",130
87,0.7037037037037037,3081.703703703704,face0007,face0004,faces,0.23,0.19,0.3,0.3,0.3,0.38,0.35,0.3,"('face0007', 'face0004')",1065
88,0.6086956521739131,3799.521739130435,face0004,face0003,faces,0.4,0.45,0.2,0.2,0.2,0.52,0.44,0.4,"('face0004', 'face0003')",956
89,0.8611111111111112,3346.027777777778,face0003,face0004,faces,0.27,0.37,0.27,0.27,0.27,0.41,0.44,0.35,"('face0003', 'face0004')",920
90,0.72,2645.44,face0003,face0001,faces,0.5,0.27,0.43,0.43,0.43,0.42,0.41,0.37,"('face0003', 'face0001')",912
91,0.8421052631578947,2775.315789473684,_033,_014,chairs,0.96,0.57,0.54,0.54,0.54,0.99,1.0,0.99,"('_033', '_014')",553
92,0.8333333333333334,2715.0666666666666,hedgehog,bear,animals,0.59,0.51,0.37,0.37,0.37,0.96,0.95,0.72,"('hedgehog', 'bear')",268
93,0.9629629629629629,1622.3703703703704,TURTLE_L,LIONESS,animals,0.95,0.71,0.36,0.36,0.36,0.91,0.94,0.98,"('TURTLE_L', 'LIONESS')",118
94,0.9642857142857143,1977.7857142857142,_031,_014,chairs,0.93,0.54,0.38,0.38,0.38,0.94,0.9,0.87,"('_031', '_014')",517
95,0.9166666666666666,2348.9166666666665,_004,_010,chairs,1.0,0.5,0.4,0.4,0.4,1.0,1.0,1.0,"('_004', '_010')",328
96,0.8125,3418.71875,f16,rdbarren,planes,0.86,0.81,0.61,0.61,0.61,0.94,0.95,0.97,"('f16', 'rdbarren')",693
97,0.9583333333333334,1960.0,LIONESS,TURTLE_L,animals,0.99,0.18,0.52,0.52,0.52,0.99,0.99,0.97,"('LIONESS', 'TURTLE_L')",83
98,0.8571428571428571,3486.095238095238,_014,_004,chairs,0.84,0.08,0.56,0.56,0.56,1.0,0.98,0.89,"('_014', '_004')",463
99,0.9090909090909091,1874.3636363636363,LIONESS,blCow,animals,0.28,0.45,0.46,0.46,0.46,0.84,0.9,0.86,"('LIONESS', 'blCow')",93
100,0.8181818181818182,2752.6363636363635,f16,junkers88,planes,0.41,0.22,0.43,0.43,0.43,0.99,0.97,0.85,"('f16', 'junkers88')",681
101,0.75,3568.65,face0008,face0002,faces,0.44,0.35,0.31,0.31,0.31,0.4,0.41,0.39,"('face0008', 'face0002')",1092
102,0.9259259259259259,2186.037037037037,breed_pug,TURTLE_L,animals,0.96,0.4,0.62,0.62,0.62,0.6,0.43,0.5,"('breed_pug', 'TURTLE_L')",226
103,0.8888888888888888,3005.3703703703704,_19_flyingBoat,junkers88,planes,0.73,0.49,0.25,0.25,0.25,0.69,0.5,0.54,"('_19_flyingBoat', 'junkers88')",646
104,0.9117647058823529,2172.705882352941,_014,_011,chairs,0.84,0.4,0.48,0.48,0.48,0.94,0.95,0.96,"('_014', '_011')",478
105,0.8333333333333334,3609.875,face0007,face0001,faces,0.2,0.27,0.31,0.31,0.31,0.56,0.53,0.44,"('face0007', 'face0001')",1051
106,0.8461538461538461,3115.5384615384614,face0001,face0004,faces,0.39,0.67,0.47,0.47,0.47,0.48,0.48,0.48,"('face0001', 'face0004')",851
107,0.96,1857.84,bear,TURTLE_L,animals,1.0,0.43,0.55,0.55,0.55,1.0,1.0,1.0,"('bear', 'TURTLE_L')",156
108,0.8260869565217391,2454.8260869565215,_014,_031,chairs,0.68,0.52,0.59,0.59,0.59,0.96,0.95,0.92,"('_014', '_031')",483
109,0.8571428571428571,3980.4285714285716,_19_flyingBoat,mig29,planes,0.08,0.21,0.37,0.37,0.37,0.4,0.42,0.4,"('_19_flyingBoat', 'mig29')",651
110,0.7878787878787878,2984.6666666666665,bear,breed_pug,animals,0.94,0.83,0.14,0.14,0.14,0.44,0.59,0.73,"('bear', 'breed_pug')",167
111,0.84,2828.08,hedgehog,ELEPHANT_M,animals,0.99,0.44,0.37,0.37,0.37,0.96,0.99,0.96,"('hedgehog', 'ELEPHANT_M')",246
112,0.7777777777777778,3905.814814814815,sopwith,junkers88,planes,0.59,0.38,0.43,0.43,0.43,0.69,0.71,0.74,"('sopwith', 'junkers88')",827
113,0.8333333333333334,2974.5,face0001,face0005,faces,0.43,0.48,0.39,0.39,0.39,0.38,0.43,0.51,"('face0001', 'face0005')",857
114,0.9310344827586207,2028.0689655172414,bear,hedgehog,animals,0.98,0.71,0.47,0.47,0.47,0.99,0.97,0.9,"('bear', 'hedgehog')",172
115,0.7142857142857143,3201.6071428571427,face0001,face0007,faces,0.59,0.47,0.28,0.28,0.28,0.21,0.21,0.27,"('face0001', 'face0007')",865
116,0.8181818181818182,2563.2272727272725,sopwith,mig29,planes,0.8,0.24,0.65,0.65,0.65,0.73,0.67,0.37,"('sopwith', 'mig29')",832
117,0.8,3641.88,mig29,junkers88,planes,0.57,0.36,0.46,0.46,0.46,0.6,0.58,0.54,"('mig29', 'junkers88')",758
118,0.85,3898.575,f16,mig29,planes,0.45,0.4,0.29,0.29,0.29,0.41,0.29,0.24,"('f16', 'mig29')",689
119,0.9230769230769231,2612.948717948718,TURTLE_L,bear,animals,0.97,0.81,0.38,0.38,0.38,1.0,1.0,1.0,"('TURTLE_L', 'bear')",123
